file,round,tick,seconds,att_team,vic_team,att_side,vic_side,wp,wp_type,ct_alive,t_alive,is_bomb_planted
esea_match_13770997.dem,11,123819,30.19354,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Negev,Heavy,4,5,FALSE
esea_match_13770997.dem,11,123821,30.20923,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,4,4,FALSE
esea_match_13770997.dem,11,123945,31.18018,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Negev,Heavy,3,4,FALSE
esea_match_13770997.dem,11,125871,46.26129,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,3,3,FALSE
esea_match_13770997.dem,11,127212,56.75385,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,3,2,FALSE
esea_match_13770997.dem,11,127398,58.21027,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,Negev,Heavy,2,2,FALSE
esea_match_13770997.dem,11,129530,74.81042,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,2,1,TRUE
esea_match_13770997.dem,11,130122,79.44598,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,2,0,TRUE
esea_match_13770997.dem,12,136409,34.59412,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,5,4,FALSE
esea_match_13770997.dem,12,136723,37.05286,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,4,FALSE
esea_match_13770997.dem,12,136805,37.69495,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,4,3,FALSE
esea_match_13770997.dem,12,136883,38.30566,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,4,2,FALSE
esea_match_13770997.dem,12,137611,44.0061,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,4,1,FALSE
esea_match_13770997.dem,12,138217,48.75122,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,3,1,FALSE
esea_match_13770997.dem,12,138833,53.49646,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,3,0,FALSE
esea_match_13770997.dem,13,146964,58.55481,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,5,4,FALSE
esea_match_13770997.dem,13,147974,66.38513,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,5,3,FALSE
esea_match_13770997.dem,13,148128,67.59094,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,3,FALSE
esea_match_13770997.dem,13,148260,68.62451,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,4,2,FALSE
esea_match_13770997.dem,13,148974,74.21533,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,4,1,FALSE
esea_match_13770997.dem,13,149384,77.42578,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,M4A4,Rifle,4,0,FALSE
esea_match_13770997.dem,14,153448,26.71692,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,5,4,FALSE
esea_match_13770997.dem,14,154390,34.09302,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,4,4,FALSE
esea_match_13770997.dem,14,154554,35.3772,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,CZ,Pistol,3,4,FALSE
esea_match_13770997.dem,14,154560,35.42419,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AK47,Rifle,3,3,FALSE
esea_match_13770997.dem,14,155312,41.18726,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,CZ,Pistol,2,3,FALSE
esea_match_13770997.dem,14,156068,47.10693,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,1,3,FALSE
esea_match_13770997.dem,14,157844,61.01355,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AWP,Sniper,0,3,FALSE
esea_match_13770997.dem,15,163594,39.66821,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AWP,Sniper,4,5,FALSE
esea_match_13770997.dem,15,164066,43.36414,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,Famas,Rifle,4,4,FALSE
esea_match_13770997.dem,15,164248,44.78918,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,3,4,FALSE
esea_match_13770997.dem,15,164799,49.09583,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,Swag7,Heavy,3,3,FALSE
esea_match_13770997.dem,15,165015,50.78723,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,Swag7,Heavy,3,2,FALSE
esea_match_13770997.dem,15,165345,53.30859,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AWP,Sniper,3,1,FALSE
esea_match_13770997.dem,15,165671,55.86121,Hentai Hooligans,Animal Style,Terrorist,CounterTerrorist,AK47,Rifle,2,1,FALSE
esea_match_13770997.dem,15,165811,56.95752,Animal Style,Hentai Hooligans,CounterTerrorist,Terrorist,AK47,Rifle,2,0,FALSE
esea_match_13770997.dem,16,174053,29.41052,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,USP,Pistol,5,4,FALSE
esea_match_13770997.dem,16,174831,35.50244,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,USP,Pistol,5,3,FALSE
esea_match_13770997.dem,16,175729,42.53406,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,USP,Pistol,5,2,FALSE
esea_match_13770997.dem,16,175749,42.69067,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,Glock,Pistol,4,2,FALSE
esea_match_13770997.dem,16,175751,42.7063,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,USP,Pistol,4,1,FALSE
esea_match_13770997.dem,16,175991,44.58557,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,USP,Pistol,4,0,FALSE
esea_match_13770997.dem,17,180609,31.05493,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,5,4,FALSE
esea_match_13770997.dem,17,180767,32.29211,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,CZ,Pistol,4,4,FALSE
esea_match_13770997.dem,17,181645,39.16711,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,MP9,SMG,4,3,FALSE
esea_match_13770997.dem,17,182047,42.31482,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,M4A4,Rifle,3,3,FALSE
esea_match_13770997.dem,17,182073,42.51843,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,UMP,SMG,3,2,FALSE
esea_match_13770997.dem,17,185309,67.77893,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,M4A4,Rifle,2,2,FALSE
esea_match_13770997.dem,17,192591,124.7206,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,2,1,FALSE
esea_match_13770997.dem,17,193149,129.09,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,2,0,FALSE
esea_match_13770997.dem,18,197334,27.64087,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,MP9,SMG,5,4,FALSE
esea_match_13770997.dem,18,197768,31.03918,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,MP9,SMG,5,3,FALSE
esea_match_13770997.dem,18,197892,32.01013,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,5,2,FALSE
esea_match_13770997.dem,18,199268,42.78455,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,5,1,FALSE
esea_match_13770997.dem,18,199912,47.82727,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,USP,Pistol,5,0,FALSE
esea_match_13770997.dem,19,204749,32.66797,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,5,4,FALSE
esea_match_13770997.dem,19,205141,35.73743,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,5,3,FALSE
esea_match_13770997.dem,19,206373,45.38428,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,4,3,FALSE
esea_match_13770997.dem,19,206419,45.74451,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,MP9,SMG,4,2,FALSE
esea_match_13770997.dem,19,206973,50.08252,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,3,2,FALSE
esea_match_13770997.dem,19,210945,81.18433,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AK47,Rifle,2,2,FALSE
esea_match_13770997.dem,19,212825,95.90527,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A1,Rifle,2,1,FALSE
esea_match_13770997.dem,19,213235,99.1156,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A1,Rifle,2,0,FALSE
esea_match_13770997.dem,20,217727,29.98999,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,AWP,Sniper,5,4,FALSE
esea_match_13770997.dem,20,217949,31.72827,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,P250,Pistol,4,4,FALSE
esea_match_13770997.dem,20,220527,51.91467,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AWP,Sniper,3,4,FALSE
esea_match_13770997.dem,20,221255,57.61511,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AWP,Sniper,2,4,FALSE
esea_match_13770997.dem,20,223319,73.77686,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,2,3,FALSE
esea_match_13770997.dem,20,223873,78.11475,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,2,2,FALSE
esea_match_13770997.dem,20,223917,78.45935,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,AK47,Rifle,2,1,FALSE
esea_match_13770997.dem,20,224715,84.62964,Animal Style,Hentai Hooligans,Terrorist,CounterTerrorist,AWP,Sniper,1,1,FALSE
esea_match_13770997.dem,20,228019,110.5009,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,1,0,FALSE
esea_match_13770997.dem,21,232323,28.59619,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,M4A4,Rifle,5,4,FALSE
esea_match_13770997.dem,21,232791,32.26074,Hentai Hooligans,Animal Style,CounterTerrorist,Terrorist,AWP,Sniper,5,3,FALSE
